Video ID,Title,Published Date,Views,Likes,Duration
puB_42ZCgaw,Yakeen 3.0 2025 Zoology 1st Class FREE 🔥 NEET 2025 Dropper,2024-07-11,223340,5418,01:54:46
Uf_5Av2LpgM,CA AIR 1 from PW 🔥,2024-07-11,2663156,149588,00:00:23
aq-CJoyxZw8,Supreme Court में Aaj kya hua ? NEET SCAM !! Alakh Sir,2024-07-08,1231347,76851,00:00:45
-SMwhGW1Yks,Yakeen 3.0 2025 PHYSICAL CHEMISTRY 1st Class FREE 🔥 NEET 2025 Dropper,2024-07-08,192578,5250,01:55:35
B1vx4bv13Fc,Janiye CJI ne SUPREME COURT me Kya kaha 😳 #shorts,2024-07-08,2198857,176991,00:00:48
vGVOTjdwWX0,Yakeen 3.0 2025 Botany 1st Class FREE 🔥 NEET 2025 Dropper,2024-07-08,229137,7070,01:55:51
ohLQJC19DV4,Yakeen 3.0 2025 PHYSICS - 1st Class FREE 🔥 NEET 2025 Dropper Batch,2024-07-08,287164,8767,02:04:34
UWgfu6fi1Is,Latest Update on NEET SCAM 2024 - NTA !!,2024-06-22,1410644,134087,00:00:56
8O7sMG8pOjc,NEET 2024 Scam - SANGHARSH JAARI HAI !! 🙏,2024-06-15,821439,40600,00:48:35
nejEVlwc9cs,NTA EXPOSED on 1st Day ?? Supreme Court Hearing - आज क्या हुआ? Detailed Explanation !!,2024-06-13,1662680,93923,00:19:05
FyDLYF74l-0,Reply to NTA FAQs || I'm not satisfied with the NTAs Response || NEET SCAM 2024,2024-06-12,979159,45608,00:36:20
-R1WXN9C51s,Alakh Sir Debate with Arnab Goswami || Republic World || NEET SCAM 2024 || NTA,2024-06-11,4155775,117857,00:11:27
SmV2MxsWMeU,Alakh sir in SUPREME COURT with J. Sai Deepak 🙏 NEET Scam 2024 || NTA,2024-06-11,1347616,56768,00:02:23
93sqTv29y_c,Alakh Sir in Supreme Court | NTA Scam Case | NEET 2024,2024-06-11,6946240,560558,00:00:37
Po9JhU-frxo,Justice for NEET Aspirants - PLEASE SHARE !!,2024-06-11,1140057,79812,00:00:44
NzxM0c3RND4,NEET Paper leak का खुलासा || Patna Paper Leak - Complete Story || NTA SCAM || NEET 2024 😨,2024-06-10,1752530,84998,01:07:11
2rWejGnySVY,Alakh Pandey VS NTA in SUPREME COURT || PIL Filed !! NTA NEET SCAM,2024-06-09,2127044,95188,01:26:16
VwvvgakOEoE,NTA ka JHOOT || Who's RESPONSIBLE for this Injustice? | NEET 2024 NTA Scam🙏,2024-06-09,1494082,67037,00:53:40
qoOk2Owp3rY,NEET PAPER LEAK CONFIRM ! NTA SCAM !! Alakh sir in Supreme Court Now,2024-06-09,3817098,266457,00:00:42
aH9HzsTO7UA,AIR 52 - JEE Advanced 2024 Results || 100% Online || PhysicsWallah 🔥 Reply to ALL HATERS!,2024-06-09,596022,24865,00:19:53
ZrizYxN_SPs,NEET RESULTS SCAM - Plz SHARE,2024-06-08,2093799,145516,00:00:45
JcxW3IfkBNk,Reply to NTA Director || It's Time to go SUPREME COURT !! 🙏,2024-06-08,2123836,90556,02:09:08
Q27dUOOA6Tg,Alakh Sir Legal Notice to NTA || NEET Results Scam 🙏,2024-06-07,1461185,78671,01:00:59
OHFQYc_qElk,Alakh sir going to Supreme Court 🙏 #Shorts #NEETResults2024,2024-06-07,3358422,210537,00:00:53
Vw-_B48pDvE,NTA se mere 4 SAWAAL || NTA NEET SCAM #Shorts #NEETResults2024,2024-06-07,2999399,240854,00:00:54
1rrXrtW7UcM,BREAKING NEWS: NTA NEET 2024 Results Latest News !! NTA REPLY,2024-06-06,1747358,74139,01:02:35
8MiXc9z0yeE,NEET 2024 SCAM - Alakh Sir on NDTV || NTA Jawab Do,2024-06-06,2325866,96781,00:05:12
oBh3bDCq9cY,NTA Exposed || NEET 2024 Results 🙏 #Shorts #NEETResults2024,2024-06-06,2291282,193564,00:00:58
197DFezRkUg,NEET 2024 Results - In Bachhon Ki Awaz Kon Sunega??  NTA NEET SCAM !!,2024-06-06,1235235,54993,00:40:08
p_vnceO4A_s,Yakeen 2.0 2025 Botany 1st Class FREE 🔥 NEET 2025 Dropper,2024-06-06,216639,6375,01:47:21
J9rm5qLd2l0,NEET SCAM - Message to NTA Please Share 🙏🏻 #Shorts #NEETResults2024,2024-06-06,2389558,196621,00:00:56
k2Xu4aX9p58,NEET SCAM ?? NEET RESULTS 2024 - Fight Back NTA Injustice #Shorts #NEETResults2024,2024-06-05,1194976,78486,00:00:57
xH8DsdVWDtE,NTA - Biggest SCAM or Blunder ??🙏 || NEET 2024 Results || Truth is OUT! 🔥,2024-06-05,1478911,71694,00:43:55
HpMAlOrB6lU,Alakh Sir NEET Results SCAM on Aaj Tak News Channel - NTA NEET RESULTS,2024-06-05,5526801,353693,00:00:43
OIV3PJZ6BXg,History DESTROYED - 720/720 in NEET 2024 || from PW 100% Online Batch || NEET 2024 Results 🔥,2024-06-04,310324,12942,00:16:40
-HlR5At8taU,NEET Results 2024 NTA Shocking Results - I'M WITH YOU ALL 🙏 || NTA Injustice 😡,2024-06-04,1260136,46425,00:49:25
vl1Rl-sG_-g,NEET RESULTS 2024 - AIR 1 from PW 🔥🔥!! Pwians Rocked !!,2024-06-04,1476030,52871,00:54:25
JegNJHhP6uk,NEET AIR 1 from PhysicsWallah 🔥 100% Online Batch Student !! Meeting Student at Hotel,2024-06-04,19477000,1006277,00:00:20
lpGYfqi1JxI,NEET AIR 1 from PW 🔥🔥 !! NEET RESULTS 2024 || Only YAKEEN Batch - 100% Online 🔥,2024-06-03,1118878,46560,00:37:51
-jVocXYMTN4,Yakeen 2.0 2025 Physical Chemistry 1st Class FREE🔥 NEET 2025 Dropper,2024-06-03,189749,6880,01:42:35
3_61Zg58Ud4,Yakeen 2.0 2025 Zoology 1st Class FREE🔥 NEET 2025 Dropper,2024-06-03,141911,4493,01:56:15
kcbaoKfolUg,Yakeen 2.0 2025 Physics 1st Class FREE🔥 NEET 2025 Dropper,2024-06-03,157989,5335,02:05:10
xU9dgkzM6oQ,Most Powerful NEET Dropper Batch: YAKEEN 2.0 2025 is here!! 🔥 TEAM ALPHA Orientation Session 💪🏻,2024-05-31,107538,3443,00:57:21
yMqUvt2mZm0,Dream TEAM of JEE Dropper 2025: Launching PRAYAS 2.0 🔥,2024-05-28,292891,10380,01:02:35
gBB_1OsajWw,4 Years of PW EDUCATIONAL REVOLUTION - Gifts for You!! #4SaalDumdaar,2024-05-25,1376373,64070,01:51:19
ev66C8Q4YzY,Yakeen 2.0 2025 Botany 1st Class FREE 🔥 NEET 2025 Dropper,2024-05-23,473402,20468,01:49:41
